"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"213615","Rhabdomyosarcoma of the corpus uteri","Disease","Disorder","C54.2","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213620","Sarcoma of the corpus uteri","Clinical group","Group of disorders","C54.2","E (Exact mapping: the two concepts are equivalent)"
"3189","Congenital pulmonary valvar stenosis","Morphological anomaly","Disorder","Q22.1","E (Exact mapping: the two concepts are equivalent)"
"213721","Undifferentiated carcinoma of the corpus uteri","Disease","Disorder","C54.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"1464","Univentricular heart","Morphological anomaly","Disorder","Q20.4","E (Exact mapping: the two concepts are equivalent)"
"213726","Serous carcinoma of the corpus uteri","Disease","Disorder","C54.1","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"3400","Aorto-ventricular tunnel","Morphological anomaly","Disorder","Q20.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213711","Endometrial stromal sarcoma","Disease","Disorder","C54.1","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213716","Squamous cell carcinoma of the corpus uteri","Disease","Disorder","C54.1","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213741","OBSOLETE: Adenoid cystic carcinoma of the corpus uteri","Disease","Disorder",NA,NA
"213746","Transitional cell carcinoma of the corpus uteri","Disease","Disorder","C54.9","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"1572","Common variable immunodeficiency","Disease","Disorder","D83.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213731","High-grade neuroendocrine carcinoma of the corpus uteri","Disease","Disorder","C54.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"3261","Autoimmune lymphoproliferative syndrome","Disease","Disorder","D47.9","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213736","Low-grade neuroendocrine tumor of the corpus uteri","Disease","Disorder","C54.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"2849","Perlman syndrome","Malformation syndrome","Disorder","Q87.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213772","Adenocarcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213767","Squamous cell carcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213761","Rare cancer of cervix uteri","Category","Group of disorders",NA,NA
"213751","Malignant germ cell tumor of the corpus uteri","Disease","Disorder","C54.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213792","Adenosarcoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213787","Carcinosarcoma of the cervix uteri","Disease","Disorder","C53","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213782","Malignant mixed epithelial and mesenchymal tumor of cervix uteri","Clinical group","Group of disorders",NA,NA
"213777","High-grade neuroendocrine carcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213812","Primitive neuroectodermal tumor of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"747","Autoimmune pulmonary alveolar proteinosis","Disease","Disorder","J84.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213807","Leiomyosarcoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213802","Rhabdomyosarcoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"2953","Musculocontractural Ehlers-Danlos syndrome","Disease","Disorder","Q79.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213797","Sarcoma of cervix uteri","Clinical group","Group of disorders",NA,NA
"213833","Glassy cell carcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"3160","OBSOLETE: Vascular disruption sequence","Malformation syndrome","Disorder",NA,NA
"213828","Adenoid basal carcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"213823","Adenoid cystic carcinoma of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"3082","Intellectual disability-polydactyly-uncombable hair syndrome","Malformation syndrome","Disorder","Q87.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213817","OBSOLETE: Papillary carcinoma of the cervix uteri","Disease","Disorder",NA,NA
"782","Axenfeld-Rieger syndrome","Malformation syndrome","Disorder","Q13.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3269","Isolated radio-ulnar synostosis","Morphological anomaly","Disorder","Q74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"213837","Malignant germ cell tumor of the cervix uteri","Disease","Disorder","C53.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"3259","Syndactyly-polydactyly-ear lobe syndrome","Malformation syndrome","Disorder","Q74.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216445","Prelingual non-syndromic genetic deafness","Clinical subtype","Subtype of disorder",NA,NA
"3309","Tetrasomy 5p","Malformation syndrome","Disorder","Q99.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216452","Postlingual non-syndromic genetic deafness","Clinical subtype","Subtype of disorder",NA,NA
"216675","Transposition of the great arteries","Category","Group of disorders",NA,NA
"3379","Distal duplication 17q","Malformation syndrome","Disorder","Q92.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216694","Congenitally corrected transposition of the great arteries","Morphological anomaly","Disorder","Q20.5","E (Exact mapping: the two concepts are equivalent)"
"216718","Isolated congenitally uncorrected transposition of the great arteries","Clinical subtype","Subtype of disorder","Q20.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216729","Congenitally uncorrected transposition of the great arteries with cardiac malformation","Clinical subtype","Subtype of disorder","Q20.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3411","Double uterus-hemivagina-renal agenesis syndrome","Malformation syndrome","Disorder","Q51.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"882","Tyrosinemia type 1","Disease","Disorder","E70.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216796","Osteogenesis imperfecta type 1","Clinical subtype","Subtype of disorder","Q78.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"903","Von Willebrand disease","Disease","Disorder","D68.0","E (Exact mapping: the two concepts are equivalent)"
"216804","Osteogenesis imperfecta type 2","Clinical subtype","Subtype of disorder","Q78.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216812","Osteogenesis imperfecta type 3","Clinical subtype","Subtype of disorder","Q78.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"995","X-linked fetal akinesia syndrome","Malformation syndrome","Disorder",NA,NA
"216820","Osteogenesis imperfecta type 4","Clinical subtype","Subtype of disorder","Q78.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216828","Osteogenesis imperfecta type 5","Clinical subtype","Subtype of disorder","Q78.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3474","CHIME syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216866","Classic pantothenate kinase-associated neurodegeneration","Clinical subtype","Subtype of disorder","G23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216873","Atypical pantothenate kinase-associated neurodegeneration","Clinical subtype","Subtype of disorder","G23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1260","OBSOLETE: Sino-auricular heart block","Disease","Disorder",NA,NA
"216972","Niemann-Pick disease type C, severe perinatal form","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1441","Ring chromosome 17 syndrome","Malformation syndrome","Disorder","Q93.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216978","Niemann-Pick disease type C, late infantile neurologic onset","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"361","Familial glucocorticoid deficiency","Disease","Disorder","E27.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216975","Niemann-Pick disease type C, severe early infantile neurologic onset","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216986","Niemann-Pick disease type C, adult neurologic onset","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1787","Acrofacial dysostosis, Palagonia type","Malformation syndrome","Disorder","Q75.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216981","Niemann-Pick disease type C, juvenile neurologic onset","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1863","NON RARE IN EUROPE: Trochlear dysplasia","Morphological anomaly","Disorder",NA,NA
"217008","Bockenheimer syndrome","Malformation syndrome","Disorder","Q27.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"216989","Autosomal dominant dystrophic epidermolysis bullosa, Pasini type","Clinical subtype","Subtype of disorder",NA,NA
"217017","Zechi-Ceide syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217012","Spinocerebellar ataxia type 31","Disease","Disorder","G11.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2088","Fanconi-Bickel syndrome","Disease","Disorder","E74.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217026","Microcephaly-facio-cardio-skeletal syndrome, Hadziselimovic type","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217023","OBSOLETE: Atypical hemolytic uremic syndrome with thrombomodulin anomaly","Etiological subtype","Subtype of disorder",NA,NA
"217034","Male infertility with normal virilization due to meiosis defect","Disease","Disorder",NA,NA
"217031","NON RARE IN EUROPE: Obesity due to MC3R deficiency","Disease","Disorder",NA,NA
"217049","OBSOLETE: Rare non-syndromic cataract","Category","Group of disorders",NA,NA
"217046","OBSOLETE: Autosomal recessive childhood-onset cortical cataract","Clinical subtype","Subtype of disorder",NA,NA
"217266","BNAR syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"179","Birdshot chorioretinopathy","Disease","Disorder","H30.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217260","Progressive multifocal leukoencephalopathy","Disease","Disorder","A81.2","E (Exact mapping: the two concepts are equivalent)"
"292","Congenital enterovirus infection","Disease","Disorder","P35.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217253","NMDA receptor encephalitis","Disease","Disorder","G13.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"767","Polyarteritis nodosa","Disease","Disorder","M30.0","E (Exact mapping: the two concepts are equivalent)"
"2584","Classic mycosis fungoides","Disease","Disorder","C84.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217093","Mucopolysaccharidosis type 2, attenuated form","Clinical subtype","Subtype of disorder","E76.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3162","Sézary syndrome","Disease","Disorder","C84.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217085","Mucopolysaccharidosis type 2, severe form","Clinical subtype","Subtype of disorder","E76.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217080","Pulmonary fungal infections in patients deemed at risk","Particular clinical situation in a disease or syndrome","Disorder","B48.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217074","Rare carcinoma of pancreas","Category","Group of disorders",NA,NA
"2330","Kasabach-Merritt phenomenon","Particular clinical situation in a disease or syndrome","Disorder","D18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217071","Renal cell carcinoma","Clinical group","Group of disorders",NA,NA
"217067","Pouchitis","Particular clinical situation in a disease or syndrome","Disorder","K91.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2700","Noma","Disease","Disorder","A69.0","E (Exact mapping: the two concepts are equivalent)"
"217064","5-fluorouracil poisoning","Particular clinical situation in a disease or syndrome","Disorder","T45.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1451","CINCA syndrome","Disease","Disorder","E85.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217059","Isolated nail clubbing","Morphological anomaly","Disorder","Q68.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217055","Autosomal recessive intermediate Charcot-Marie-Tooth disease type A","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"556","Malakoplakia","Disease","Disorder","N28.8","ND (not yet decided/unable to decide: the alignment cannot be qualified by any of the existing labels)"
"2778","OBSOLETE: Juvenile chronic recurrent multifocal osteomyelitis","Clinical subtype","Subtype of disorder",NA,NA
"217052","OBSOLETE: Infantile non-syndromic cataract","Disease","Disorder",NA,NA
"217335","RIN2 syndrome","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2745","Opitz GBBB syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217340","17q21.31 microduplication syndrome","Malformation syndrome","Disorder","Q92.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3260","Idiopathic hypereosinophilic syndrome","Disease","Disorder","D47.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217315","Cutis verticis gyrata-retinitis pigmentosa-sensorineural deafness syndrome","Malformation syndrome","Disorder",NA,NA
"217330","REN-related autosomal dominant tubulointerstitial kidney disease","Clinical subtype","Subtype of disorder","Q61.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1648","NON RARE IN EUROPE: Dementia with Lewy body","Disease","Disorder",NA,NA
"2086","Optic pathway glioma","Disease","Disorder","D33.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2566","Chronic Epstein-Barr virus infection syndrome","Disease","Disorder","B27.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3385","African trypanosomiasis","Disease","Disorder","B56.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"1560","Cysticercosis","Disease","Disorder","B69.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"566","Congenital microcoria","Malformation syndrome","Disorder","Q13.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"344","OBSOLETE: Arbovirus fever","Category","Group of disorders",NA,NA
"341","Viral hemorrhagic fever","Category","Group of disorders",NA,NA
"340","Hemorrhagic fever-renal syndrome","Disease","Disorder","A98.5+","E (Exact mapping: the two concepts are equivalent)"
"2552","Microsporidiosis","Disease","Disorder","B60.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1171","Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome","Disease","Disorder","G11.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1463","Triatrial heart","Clinical group","Group of disorders","Q24.2","E (Exact mapping: the two concepts are equivalent)"
"217560","Neuroendocrine cell hyperplasia of infancy","Disease","Disorder","J84.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217557","Pulmonary interstitial glycogenosis","Disease","Disorder","P22.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1686","Cardiac diverticulum","Morphological anomaly","Disorder","Q24.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217566","Chronic respiratory distress with surfactant metabolism deficiency","Disease","Disorder","J84.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217563","Neonatal acute respiratory distress due to SP-B deficiency","Disease","Disorder","P28.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1864","OBSOLETE: Congenital valvular dysplasia","Morphological anomaly","Disorder",NA,NA
"217410","OBSOLETE: Circumscribed lymphatic malformation","Clinical subtype","Subtype of disorder",NA,NA
"217407","Hereditary hypotrichosis with recurrent skin vesicles","Disease","Disorder","Q84.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1456","Middle aortic syndrome","Morphological anomaly","Disorder","Q25.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217467","Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency","Disease","Disorder","D68.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217454","Rare hereditary thrombophilia","Clinical group","Group of disorders",NA,NA
"1457","Aorta coarctation","Morphological anomaly","Disorder","Q25.1","E (Exact mapping: the two concepts are equivalent)"
"217390","Combined immunodeficiency due to DOCK8 deficiency","Disease","Disorder","D81.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1132","Aortic arch defects","Category","Group of disorders",NA,NA
"217385","17p13.3 microduplication syndrome","Malformation syndrome","Disorder","Q92.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1138","Abnormal origin of the pulmonary artery","Clinical group","Group of disorders",NA,NA
"1207","Pulmonary atresia with ventricular septal defect","Morphological anomaly","Disorder","Q25.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217399","Congenital insensitivity to pain-hyperhidrosis-absence of cutaneous sensory innervation","Disease","Disorder","G60.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217396","Progressive polyneuropathy with bilateral striatal necrosis","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"982","Pulmonary valve agenesis","Clinical group","Group of disorders",NA,NA
"217371","Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins","Disease","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217346","19q13.11 microdeletion syndrome","Malformation syndrome","Disorder","Q93.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"980","Absence of the pulmonary artery","Morphological anomaly","Disorder","Q25.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217382","Neurodegenerative syndrome due to cerebral folate transport deficiency","Disease","Disorder","G31.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1054","Aneurysm of sinus of Valsalva","Morphological anomaly","Disorder","Q25.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1081","Coronary artery congenital malformation","Category","Group of disorders","Q24.5","E (Exact mapping: the two concepts are equivalent)"
"217377","Microduplication Xp11.22p11.23 syndrome","Malformation syndrome","Disorder","Q99.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3091","Congenital systemic veins anomaly","Category","Group of disorders",NA,NA
"217613","Mitochondrial disease with dilated cardiomyopathy","Category","Group of disorders",NA,NA
"217616","Fatty acid oxidation and ketogenesis disorder with dilated cardiomyopathy","Category","Group of disorders",NA,NA
"217619","Syndrome associated with dilated cardiomyopathy","Category","Group of disorders",NA,NA
"3093","Congenital aortic valve stenosis","Morphological anomaly","Disorder","Q23.0","E (Exact mapping: the two concepts are equivalent)"
"217622","Sensorineural deafness with dilated cardiomyopathy","Disease","Disorder","I42.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3092","Fixed subaortic stenosis","Morphological anomaly","Disorder","Q24.4","E (Exact mapping: the two concepts are equivalent)"
"217601","OBSOLETE: Hypertrophic cardiomyopathy due to intensive athletic training","Disease","Disorder",NA,NA
"217604","Dilated cardiomyopathy","Category","Group of disorders","I42.0","E (Exact mapping: the two concepts are equivalent)"
"2299","Aortic arch interruption","Morphological anomaly","Disorder","Q25.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3427","Double outlet left ventricle","Morphological anomaly","Disorder","Q20.2","E (Exact mapping: the two concepts are equivalent)"
"217607","Familial dilated cardiomyopathy","Category","Group of disorders",NA,NA
"217610","Neuromuscular disease with dilated cardiomyopathy","Category","Group of disorders",NA,NA
"3426","Double outlet right ventricle","Morphological anomaly","Disorder","Q20.1","E (Exact mapping: the two concepts are equivalent)"
"439","Isolated right ventricular hypoplasia","Morphological anomaly","Disorder","Q22.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217587","Mitochondrial disease with hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"217591","Fatty acid oxidation and ketogenesis disorder with hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"422","Idiopathic/heritable pulmonary arterial hypertension","Disease","Disorder","I27.0","E (Exact mapping: the two concepts are equivalent)"
"217595","Syndrome associated with hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"2447","Congenital mitral malformation","Category","Group of disorders",NA,NA
"217598","Non-familial hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"2038","Pulmonary arteriovenous malformation","Morphological anomaly","Disorder","Q25.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217569","Rare hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"2037","Congenital aortopulmonary window","Morphological anomaly","Disorder","Q21.4","E (Exact mapping: the two concepts are equivalent)"
"217572","Glycogen storage disease with hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"2041","Coronary arterial fistula","Morphological anomaly","Disorder","Q24.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217581","Lysosomal disease with hypertrophic cardiomyopathy","Category","Group of disorders",NA,NA
"2039","Congenital systemic arteriovenous fistula","Morphological anomaly","Disorder","Q27.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"282","Frontotemporal dementia","Clinical group","Group of disorders",NA,NA
"217720","Non-familial restrictive cardiomyopathy","Category","Group of disorders",NA,NA
"331","Congenital factor XIII deficiency","Disease","Disorder","D68.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"159","Carnitine-acylcarnitine translocase deficiency","Disease","Disorder","E71.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"542","Primary cutaneous lymphoma","Category","Group of disorders",NA,NA
"707","Plague","Disease","Disorder","A20.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"217638","Lysosomal disease with restrictive cardiomyopathy","Category","Group of disorders",NA,NA
"217635","Familial restrictive cardiomyopathy","Category","Group of disorders",NA,NA
"335","Congenital fibrinogen deficiency","Disease","Disorder","D68.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217632","Restrictive cardiomyopathy","Category","Group of disorders",NA,NA
"217629","Non-familial dilated cardiomyopathy","Category","Group of disorders",NA,NA
"217678","Unclassified cardiomyopathy","Category","Group of disorders",NA,NA
"79","Congenital alpha2-antiplasmin deficiency","Disease","Disorder","D68.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"217656","Inherited isolated arrhythmogenic cardiomyopathy","Disease","Disorder","I42.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1070","Anisakiasis","Disease","Disorder","B81.0","E (Exact mapping: the two concepts are equivalent)"
"1467","Cogan syndrome","Disease","Disorder","H16.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2157","Histidinemia","Disease","Disorder","E70.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220402","Limited cutaneous systemic sclerosis","Clinical subtype","Subtype of disorder","M34.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3124","Saccharopinuria","Disease","Disorder","E72.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220407","Limited systemic sclerosis","Clinical subtype","Subtype of disorder","M34.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220386","Semilobar holoprosencephaly","Clinical subtype","Subtype of disorder","Q04.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2203","Hyperlysinemia","Disease","Disorder","E72.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220393","Diffuse cutaneous systemic sclerosis","Clinical subtype","Subtype of disorder","M34.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"332","Congenital intrinsic factor deficiency","Disease","Disorder","D51.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220448","Macrothrombocytopenia with mitral valve insufficiency","Disease","Disorder","D69.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2967","Transcobalamin I deficiency","Disease","Disorder","E53.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220452","Isolated hereditary giant platelet disorder","Category","Group of disorders",NA,NA
"220436","Quebec platelet disorder","Disease","Disorder","D69.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2168","Homocarnosinosis","Disease","Disorder",NA,NA
"2195","Dicarboxylic aminoaciduria","Disease","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220443","Bleeding diathesis due to thromboxane synthesis deficiency","Disease","Disorder","D69.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"218436","Rare cardiac rhythm disease","Category","Group of disorders",NA,NA
"218439","Non-genetic cardiac rhythm disease","Category","Group of disorders",NA,NA
"218432","OBSOLETE: Familial restrictive cardiomyopathy type 3","Etiological subtype","Subtype of disorder",NA,NA
"2170","Methylcobalamin deficiency type cblG","Clinical subtype","Subtype of disorder","E72.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220295","Xeroderma pigmentosum-Cockayne syndrome complex","Disease","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"414","Gyrate atrophy of choroid and retina","Disease","Disorder","E72.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"622","Homocystinuria without methylmalonic aciduria","Disease","Disorder","E72.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"927","Hyperammonemia due to N-acetylglutamate synthase deficiency","Disease","Disorder","E72.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3402","Transient tyrosinemia of the newborn","Disease","Disorder","P74.5","E (Exact mapping: the two concepts are equivalent)"
"34","Pipecolic acidemia","Disease","Disorder",NA,NA
"2880","Phosphoenolpyruvate carboxykinase deficiency","Disease","Disorder","E74.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"941","D-glyceric aciduria","Disease","Disorder","E74.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220465","Laron syndrome with immunodeficiency","Disease","Disorder","D82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220460","Attenuated familial adenomatous polyposis","Disease","Disorder","D12.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220489","Rare hereditary hemochromatosis","Category","Group of disorders",NA,NA
"19","2-hydroxyglutaric aciduria","Clinical group","Group of disorders",NA,NA
"2843","Pentosuria","Disease","Disorder","E74.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220497","Joubert syndrome with renal defect","Malformation syndrome","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"212","Cystathioninuria","Disease","Disorder","E72.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"220493","Joubert syndrome with ocular defect","Malformation syndrome","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"470","Lysinuric protein intolerance","Disease","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1032","OBSOLETE: Hyperdibasic aminoaciduria type 1","Disease","Disorder",NA,NA
"221074","Marchiafava-Bignami disease","Disease","Disorder","G37.1","E (Exact mapping: the two concepts are equivalent)"
"221078","Combined hyperactive dysfunction syndrome of the cranial nerves","Disease","Disorder","G52.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
